id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
1,அக்கட்ட,அக்கட்டு | அக்கட்டாலே | அக்கட்டால | அக்கெட்டை,akkaṭṭa,akkaṭṭu | akkaṭṭālē | akkaṭṭāla | akkeṭṭai,"அந்த இடம், அந்த இடத்திலே | அந்தப்பக்கம்.(1) | வேறிடம்.(2)","that place, there","அடுப்புக்கிட்ட நிக்காத. தீ மூஞ்சிலையே அடிக்குது. அக்கட்ட போடா | நீ அக்கட்டாலே போய் உட்காரு, move aside | அக்கட்ட பாரு கெடக்கும் | அக்கட்டால என்ன பார்வ? | அத்தெ மகனெவுட்டு - என்னை அக் (எ) கட்டையா மாலையிட (நாட்டுப்புறப்பாடல்)",வினைச்சொல்,home_household,அக் கிடை,od | pm,
2,அக்கடானு,அக்காடானு,akkaṭāṉu,akkāṭāṉu,அமைதியாக நிம்மதியாக சும்மா இருத்தல்,,அக்கடானு இருந்தவளெ வம்புலெ மாட்டியுட்டுட்டாம் பாரு.,,,,np,
3,அக்கப்போர்,அக்கப்போரு,akkappōr,akkappōru,அட்டகாசம் | சண்டை | தொந்தரவு | பிரச்சினைக்குரிய.,pestering | fight,இவன் அக்கப்போரு தாங்க முடியலைடா | செரியான அக்கப்போரு புடிச்ச ஆளா இருக்குறான்.,,human_behavior,,od | np,
4,அக்கரகண்டி,,akkarakaṇṭi,,வாயாடி.,,அக்கரகண்டிகிட்ட வாய் குடுத்தா ஆவுமா.,பெயர்ச்சொல்,,,pm,
5,அக்காகுருவி,,akkākuruvi,,கொங்கு நாட்டில் மட்டுமே உள்ள ஒரு வகைக் குருவி. மழை வருவதை முன்கூட்டியே உணர்த்தும் வகையில் கத்தும்.,Common hawk-cuckoo,,,,,np,
6,அக்காது,,akkātu,,அறுந்து போகாது.,,இந்தக் கவுத்துல கட்டுனா சீக்கிரமா அக்காது.,,,,np,
7,அக்காரம்,,akkāram,,அக்ரகாரம்.,,,,,,np,
8,அக்கி,,akki,,உடல் சூட்டினால் வரும் புண்.,,ஒடம்புலெ அக்கி வந்துருச்சு படம் எழுதோணும்.,,,,np,
9,அக்கி எழுதுறது,,akki eḻutuṟatu,,"மூலிகைகள் கலக்கிய செங்கல் குழம்பால் சிங்கம், நாய் போன்ற உருவங்களை முதுகில் எழுதுதல்.",,ஒடம்புல அக்கி எழுதோணும்.,,,,np,
10,அக்கியானம்,,akkiyāṉam,,"தொல்லை, தொந்தரவு | தொந்தரவு; தொல்லை; துன்பம்.",trouble | annoyance,அக்கியானம் பண்ணாம ஒழுங்கா வேலையப் பாரு | இந்த அக்கியானத்த எங்க போய்ச் சொல்றது.,பெயர்ச்சொல்,human_behavior,,od | pm,
11,அக்கியானம் பிடித்தவன்,அக்கியானம் புடிச்சவன் | அக்கியானொ புடிச்சவெ,akkiyāṉam piṭittavaṉ,akkiyāṉam puṭiccavaṉ | akkiyāṉo puṭiccave,"தொந்தரவு, தொல்லைகள் தருபவன். | அடுத்தவர்களைப் பார்த்து பொறாமைப்படுபவன்.",,அவன் ஒரு அக்கியானம் புடிச்சவன். | எங்கியோ அக்கியானம் புடிச்சவன் போலே இருக்குது.,பெயர்ச்சொல்,,,pm | np,
12,அக்கிரமம்,,akkiramam,,கொடுமையான செயல் | தொல்லை.,,நீ பண்றது ரொம்ப அக்கிரமம்.,,,,np,
13,அக்குப்பொறுக்கி,,akkuppoṟukki,,திட்டுச்சொல்.,,அக்குப்பொறுக்கிப் பயகூட ஆரு சேருவா.,பெயர்ச்சொல்,,,pm,
14,அக்குவேறே ஆணிவேறேயா,அக்குவேற ஆணிவேறா,akkuvēṟē āṇivēṟēyā,akkuvēṟa āṇivēṟā,தனித்தனியாக.,,அக்குவேறே ஆணிவேறா பிரிச்சு வெச்சிட்டியா.,,,,np,
15,அக்குறுமம்,அக்குறும்,akkuṟumam,akkuṟuma,காண்க: அக்கிரமம்.,,,,,,np,
